Version,Subject,Time Step,EnvirInFlow,EnvirOutFlow,UserInFlow,UserOutFlow,AmountInTank,Goal
Linear increase,t11,1,2.080,0.000,2.000,1.000,5.080,4.000
Linear increase,t11,2,2.160,0.000,0.100,0.800,6.540,4.000
Linear increase,t11,3,2.240,0.000,0.010,0.200,8.590,4.000
Linear increase,t11,4,2.320,0.000,0.010,2.000,8.920,4.000
Linear increase,t11,5,2.400,0.000,0.010,3.000,8.330,4.000
Linear increase,t11,6,2.480,0.000,0.010,7.000,3.820,4.000
Linear increase,t11,7,2.560,0.000,0.010,2.000,4.390,4.000
Linear increase,t11,8,2.640,0.000,0.010,3.000,4.040,4.000
Linear increase,t11,9,2.720,0.000,0.010,2.720,4.050,4.000
Linear increase,t11,10,2.800,0.000,0.010,2.850,4.010,4.000
Linear increase,t11,11,2.880,0.000,0.010,2.900,4.000,4.000
Linear increase,t11,12,2.960,0.000,0.010,3.000,3.970,4.000
Linear increase,t11,13,3.040,0.000,1.000,4.000,4.010,4.000
Linear increase,t11,14,3.120,0.000,1.000,4.030,4.100,4.000
Linear increase,t11,15,3.200,0.000,1.000,4.020,4.280,4.000
Linear increase,t11,16,3.280,0.000,1.000,3.900,4.660,4.000
Linear increase,t11,17,3.360,0.000,1.000,3.800,5.220,4.000
Linear increase,t11,18,3.440,0.000,1.000,3.500,6.160,4.000
Linear increase,t11,19,3.520,0.000,0.010,4.000,5.690,4.000
Linear increase,t11,20,3.600,0.000,0.010,4.500,4.800,4.000
Linear increase,t11,21,3.680,0.000,0.010,4.800,3.690,4.000
Linear increase,t11,22,3.760,0.000,0.310,4.000,3.760,4.000
Linear increase,t11,23,3.840,0.000,0.240,3.800,4.040,4.000
Linear increase,t11,24,3.920,0.000,0.010,3.900,4.070,4.000
Linear increase,t11,25,4.000,0.000,0.100,4.100,4.070,4.000
Linear increase,t11,26,4.080,0.000,0.100,4.200,4.050,4.000
Linear increase,t11,27,4.160,0.000,0.100,4.250,4.060,4.000
Linear increase,t11,28,4.240,0.000,0.100,4.320,4.080,4.000
Linear increase,t11,29,4.320,0.000,0.100,4.500,4.000,4.000
Linear increase,t11,30,4.400,0.000,1.000,5.500,3.900,4.000
Linear increase,t11,31,4.480,0.000,1.000,5.500,3.880,4.000
Linear increase,t11,32,4.560,0.000,1.000,5.300,4.140,4.000
Linear increase,t11,33,4.640,0.000,1.000,5.800,3.980,4.000
Linear increase,t11,34,4.720,0.000,0.010,4.800,3.910,4.000
Linear increase,t11,35,4.800,0.000,0.010,4.600,4.120,4.000
Linear increase,t11,36,4.880,0.000,0.010,4.900,4.110,4.000
Linear increase,t11,37,4.960,0.000,0.010,5.000,4.080,4.000
Linear increase,t11,38,5.040,0.000,0.010,5.040,4.090,4.000
Linear increase,t11,39,5.120,0.000,0.010,5.130,4.090,4.000
Linear increase,t11,40,5.200,0.000,0.010,5.200,4.100,4.000
Linear increase,t11,41,5.280,0.000,0.010,5.400,3.990,4.000
Linear increase,t11,42,5.360,0.000,0.010,5.320,4.040,4.000
Linear increase,t11,43,5.440,0.000,0.010,5.400,4.090,4.000
Linear increase,t11,44,5.520,0.000,0.010,5.650,3.970,4.000
Linear increase,t11,45,5.600,0.000,0.010,5.530,4.050,4.000
Linear increase,t11,46,5.680,0.000,0.010,5.700,4.040,4.000
Linear increase,t11,47,5.760,0.000,0.010,5.750,4.060,4.000
Linear increase,t11,48,5.840,0.000,0.010,5.830,4.080,4.000
Linear increase,t11,49,5.920,0.000,0.010,5.960,4.050,4.000
Linear increase,t11,50,6.000,0.000,0.010,6.000,4.060,4.000
Linear increase,t11,51,6.080,0.000,0.010,6.120,4.030,4.000
Linear increase,t11,52,6.160,0.000,0.010,6.210,3.990,4.000
Linear increase,t11,53,6.240,0.000,0.010,6.180,4.060,4.000
Linear increase,t11,54,6.320,0.000,0.010,6.350,4.040,4.000
Linear increase,t11,55,6.400,0.000,0.010,6.500,3.950,4.000
Linear increase,t11,56,6.480,0.000,0.050,6.450,4.030,4.000
Linear increase,t11,57,6.560,0.000,0.010,6.500,4.100,4.000
Linear increase,t11,58,6.640,0.000,0.010,6.800,3.950,4.000
Linear increase,t11,59,6.720,0.000,0.050,6.680,4.040,4.000
Linear increase,t11,60,6.800,0.000,0.010,6.890,3.960,4.000
Linear increase,t11,61,6.880,0.000,0.040,6.820,4.060,4.000
Linear increase,t11,62,6.960,0.000,0.010,6.950,4.080,4.000
Linear increase,t11,63,7.040,0.000,0.010,7.120,4.010,4.000
Linear increase,t11,64,7.120,0.000,0.010,7.230,3.910,4.000
Linear increase,t11,65,7.200,0.000,0.010,7.180,3.940,4.000
Linear increase,t11,66,7.280,0.000,0.060,7.230,4.050,4.000
Linear increase,t11,67,7.360,0.000,0.010,7.400,4.020,4.000
Linear increase,t11,68,7.440,0.000,0.010,7.450,4.020,4.000
Linear increase,t11,69,7.520,0.000,0.010,7.500,4.050,4.000
Linear increase,t11,70,7.600,0.000,0.010,7.620,4.040,4.000
Linear increase,t11,71,7.680,0.000,0.010,7.700,4.030,4.000
Linear increase,t11,72,7.760,0.000,0.010,7.780,4.020,4.000
Linear increase,t11,73,7.840,0.000,0.010,7.850,4.020,4.000
Linear increase,t11,74,7.920,0.000,0.010,7.920,4.030,4.000
Linear increase,t11,75,8.000,0.000,0.010,7.990,4.050,4.000
Linear increase,t11,76,8.080,0.000,0.010,8.150,3.990,4.000
Linear increase,t11,77,8.160,0.000,0.010,8.150,4.010,4.000
Linear increase,t11,78,8.240,0.000,0.010,8.560,3.700,4.000
Linear increase,t11,79,8.320,0.000,0.300,8.300,4.020,4.000
Linear increase,t11,80,8.400,0.000,0.010,8.450,3.980,4.000
Linear increase,t11,81,8.480,0.000,0.020,8.480,4.000,4.000
Linear increase,t11,82,8.560,0.000,0.010,8.560,4.010,4.000
Linear increase,t11,83,8.640,0.000,0.010,8.650,4.010,4.000
Linear increase,t11,84,8.720,0.000,0.010,8.700,4.040,4.000
Linear increase,t11,85,8.800,0.000,0.010,8.840,4.010,4.000
Linear increase,t11,86,8.880,0.000,0.010,8.950,3.950,4.000
Linear increase,t11,87,8.960,0.000,0.050,8.920,4.040,4.000
Linear increase,t11,88,9.040,0.000,0.010,9.080,4.010,4.000
Linear increase,t11,89,9.120,0.000,0.010,9.150,3.990,4.000
Linear increase,t11,90,9.200,0.000,0.010,9.160,4.040,4.000
Linear increase,t11,91,9.280,0.000,0.010,9.330,4.000,4.000
Linear increase,t11,92,9.360,0.000,0.010,9.360,4.010,4.000
Linear increase,t11,93,9.440,0.000,0.010,9.430,4.030,4.000
Linear increase,t11,94,9.520,0.000,0.010,9.560,4.000,4.000
Linear increase,t11,95,9.600,0.000,0.010,9.600,4.010,4.000
Linear increase,t11,96,9.680,0.000,0.010,9.720,3.980,4.000
Linear increase,t11,97,9.760,0.000,0.020,9.740,4.020,4.000
Linear increase,t11,98,9.840,0.000,0.010,9.890,3.980,4.000
Linear increase,t11,99,9.920,0.000,0.020,9.960,3.960,4.000
Linear increase,t11,100,10.000,0.000,0.040,9.960,4.040,4.000
Linear increase,t14,1,2.080,0.000,2.000,1.000,5.080,4.000
Linear increase,t14,2,2.160,0.000,1.000,2.000,6.240,4.000
Linear increase,t14,3,2.240,0.000,3.000,1.000,10.480,4.000
Linear increase,t14,4,2.320,0.000,5.000,0.000,17.800,4.000
Linear increase,t14,5,2.400,0.000,0.000,10.000,10.200,4.000
Linear increase,t14,6,2.480,0.000,0.000,8.000,4.680,4.000
Linear increase,t14,7,2.560,0.000,0.000,3.000,4.240,4.000
Linear increase,t14,8,2.640,0.000,0.000,2.850,4.030,4.000
Linear increase,t14,9,2.720,0.000,0.000,2.750,4.000,4.000
Linear increase,t14,10,2.800,0.000,0.000,2.800,4.000,4.000
Linear increase,t14,11,2.880,0.000,0.000,2.880,4.000,4.000
Linear increase,t14,12,2.960,0.000,0.000,2.960,4.000,4.000
Linear increase,t14,13,3.040,0.000,0.000,3.040,4.000,4.000
Linear increase,t14,14,3.120,0.000,0.000,3.120,4.000,4.000
Linear increase,t14,15,3.200,0.000,0.000,3.200,4.000,4.000
Linear increase,t14,16,3.280,0.000,0.000,3.280,4.000,4.000
Linear increase,t14,17,3.360,0.000,0.000,3.360,4.000,4.000
Linear increase,t14,18,3.440,0.000,0.000,3.440,4.000,4.000
Linear increase,t14,19,3.520,0.000,0.000,3.520,4.000,4.000
Linear increase,t14,20,3.600,0.000,0.000,3.600,4.000,4.000
Linear increase,t14,21,3.680,0.000,0.000,3.680,4.000,4.000
Linear increase,t14,22,3.760,0.000,0.000,3.760,4.000,4.000
Linear increase,t14,23,3.840,0.000,0.000,3.840,4.000,4.000
Linear increase,t14,24,3.920,0.000,0.000,3.920,4.000,4.000
Linear increase,t14,25,4.000,0.000,0.000,4.000,4.000,4.000
Linear increase,t14,26,4.080,0.000,0.000,4.080,4.000,4.000
Linear increase,t14,27,4.160,0.000,0.000,4.160,4.000,4.000
Linear increase,t14,28,4.240,0.000,0.000,4.280,3.960,4.000
Linear increase,t14,29,4.320,0.000,0.000,4.280,4.000,4.000
Linear increase,t14,30,4.400,0.000,0.000,4.400,4.000,4.000
Linear increase,t14,31,4.480,0.000,0.000,4.480,4.000,4.000
Linear increase,t14,32,4.560,0.000,0.000,4.560,4.000,4.000
Linear increase,t14,33,4.640,0.000,0.000,4.640,4.000,4.000
Linear increase,t14,34,4.720,0.000,0.000,4.720,4.000,4.000
Linear increase,t14,35,4.800,0.000,0.000,4.800,4.000,4.000
Linear increase,t14,36,4.880,0.000,0.000,4.880,4.000,4.000
Linear increase,t14,37,4.960,0.000,0.000,4.960,4.000,4.000
Linear increase,t14,38,5.040,0.000,0.000,5.040,4.000,4.000
Linear increase,t14,39,5.120,0.000,0.000,5.120,4.000,4.000
Linear increase,t14,40,5.200,0.000,0.000,5.200,4.000,4.000
Linear increase,t14,41,5.280,0.000,0.000,5.280,4.000,4.000
Linear increase,t14,42,5.360,0.000,0.000,5.360,4.000,4.000
Linear increase,t14,43,5.440,0.000,0.000,5.440,4.000,4.000
Linear increase,t14,44,5.520,0.000,0.000,5.520,4.000,4.000
Linear increase,t14,45,5.600,0.000,0.000,5.600,4.000,4.000
Linear increase,t14,46,5.680,0.000,0.000,5.680,4.000,4.000
Linear increase,t14,47,5.760,0.000,0.000,5.760,4.000,4.000
Linear increase,t14,48,5.840,0.000,0.000,5.840,4.000,4.000
Linear increase,t14,49,5.920,0.000,0.000,5.920,4.000,4.000
Linear increase,t14,50,6.000,0.000,0.000,6.000,4.000,4.000
Linear increase,t14,51,6.080,0.000,0.000,6.080,4.000,4.000
Linear increase,t14,52,6.160,0.000,0.000,6.160,4.000,4.000
Linear increase,t14,53,6.240,0.000,0.000,6.240,4.000,4.000
Linear increase,t14,54,6.320,0.000,0.000,6.320,4.000,4.000
Linear increase,t14,55,6.400,0.000,0.000,6.400,4.000,4.000
Linear increase,t14,56,6.480,0.000,0.000,6.480,4.000,4.000
Linear increase,t14,57,6.560,0.000,0.000,6.560,4.000,4.000
Linear increase,t14,58,6.640,0.000,0.000,6.640,4.000,4.000
Linear increase,t14,59,6.720,0.000,0.000,6.720,4.000,4.000
Linear increase,t14,60,6.800,0.000,0.000,6.800,4.000,4.000
Linear increase,t14,61,6.880,0.000,0.000,6.880,4.000,4.000
Linear increase,t14,62,6.960,0.000,0.000,6.960,4.000,4.000
Linear increase,t14,63,7.040,0.000,0.000,7.040,4.000,4.000
Linear increase,t14,64,7.120,0.000,0.000,7.120,4.000,4.000
Linear increase,t14,65,7.200,0.000,0.000,7.200,4.000,4.000
Linear increase,t14,66,7.280,0.000,0.000,7.280,4.000,4.000
Linear increase,t14,67,7.360,0.000,0.000,7.360,4.000,4.000
Linear increase,t14,68,7.440,0.000,0.000,7.440,4.000,4.000
Linear increase,t14,69,7.520,0.000,0.000,7.520,4.000,4.000
Linear increase,t14,70,7.600,0.000,0.000,7.600,4.000,4.000
Linear increase,t14,71,7.680,0.000,0.000,7.680,4.000,4.000
Linear increase,t14,72,7.760,0.000,0.000,7.760,4.000,4.000
Linear increase,t14,73,7.840,0.000,0.000,7.840,4.000,4.000
Linear increase,t14,74,7.920,0.000,0.000,7.920,4.000,4.000
Linear increase,t14,75,8.000,0.000,0.000,8.000,4.000,4.000
Linear increase,t14,76,8.080,0.000,0.000,8.080,4.000,4.000
Linear increase,t14,77,8.160,0.000,0.000,8.160,4.000,4.000
Linear increase,t14,78,8.240,0.000,0.000,8.240,4.000,4.000
Linear increase,t14,79,8.320,0.000,0.000,8.320,4.000,4.000
Linear increase,t14,80,8.400,0.000,0.000,8.400,4.000,4.000
Linear increase,t14,81,8.480,0.000,0.000,8.480,4.000,4.000
Linear increase,t14,82,8.560,0.000,0.000,8.560,4.000,4.000
Linear increase,t14,83,8.640,0.000,0.000,8.640,4.000,4.000
Linear increase,t14,84,8.720,0.000,0.000,8.720,4.000,4.000
Linear increase,t14,85,8.800,0.000,0.000,8.800,4.000,4.000
Linear increase,t14,86,8.880,0.000,0.000,8.880,4.000,4.000
Linear increase,t14,87,8.960,0.000,0.000,8.960,4.000,4.000
Linear increase,t14,88,9.040,0.000,0.000,9.040,4.000,4.000
Linear increase,t14,89,9.120,0.000,0.000,9.120,4.000,4.000
Linear increase,t14,90,9.200,0.000,0.000,9.200,4.000,4.000
Linear increase,t14,91,9.280,0.000,0.000,9.280,4.000,4.000
Linear increase,t14,92,9.360,0.000,0.000,9.360,4.000,4.000
Linear increase,t14,93,9.440,0.000,0.000,9.440,4.000,4.000
Linear increase,t14,94,9.520,0.000,0.000,9.520,4.000,4.000
Linear increase,t14,95,9.600,0.000,0.000,9.600,4.000,4.000
Linear increase,t14,96,9.680,0.000,0.000,9.680,4.000,4.000
Linear increase,t14,97,9.760,0.000,0.000,9.760,4.000,4.000
Linear increase,t14,98,9.840,0.000,0.000,9.840,4.000,4.000
Linear increase,t14,99,9.920,0.000,0.000,9.920,4.000,4.000
Linear increase,t14,100,10.000,0.000,0.000,10.000,4.000,4.000
Linear increase,t18,1,2.080,0.000,2.500,0.800,5.780,4.000
Linear increase,t18,2,2.160,0.000,1.900,0.600,9.240,4.000
Linear increase,t18,3,2.240,0.000,0.000,0.000,11.480,4.000
Linear increase,t18,4,2.320,0.000,1.000,0.500,14.300,4.000
Linear increase,t18,5,2.400,0.000,1.000,3.000,14.700,4.000
Linear increase,t18,6,2.480,0.000,1.000,6.000,12.180,4.000
Linear increase,t18,7,2.560,0.000,1.000,8.000,7.740,4.000
Linear increase,t18,8,2.640,0.000,1.000,2.000,9.380,4.000
