c11 c12 c13 c22 c23 c33 
2 3 4 4 6 6 
2 3 3 4 4 6 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 4 6 6 
2 3 4 4 5 6 
2 4 4 4 5 6 
1 4 4 4 5 7 
2 3 5 4 4 6 
1 4 4 4 5 6 
2 3 4 4 5 NIL 
2 3 4 4 5 6 
2 3 4 5 5 6 
3 3 4 4 4 6 
1 4 3 5 5 7 
2 NIL 4 4 4 NIL 
2 3 3 3 6 NIL 
1 3 4 4 5 5 
2 3 4 4 4 6 
1 3 4 4 6 7 
2 3 4 4 5 5 
4 3 4 4 NIL 7 
1 3 4 4 3 6 
NIL 3 4 4 6 6 
1 3 4 4 NIL 7 
3 3 4 4 4 7 
1 3 4 4 NIL 6 
2 3 4 3 4 6 
2 3 4 4 5 NIL 
4 2 2 4 5 6 
3 3 4 4 NIL 6 
2 3 4 3 5 6 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 4 NIL 6 
2 3 3 4 5 5 
3 3 4 4 6 6 
2 4 4 4 4 7 
2 3 4 4 5 6 
2 4 4 4 5 NIL 
2 3 4 4 5 6 
2 3 4 4 5 7 
1 3 4 4 5 7 
2 4 4 3 NIL NIL 
3 3 4 4 5 6 
NIL 4 4 4 NIL 6 
2 3 4 3 5 6 
2 3 4 4 4 5 
2 3 4 4 5 6 
2 2 4 4 4 NIL 
3 3 4 3 NIL 6 
3 3 4 3 5 6 
4 3 3 3 4 6 
2 4 4 3 5 6 
3 3 4 2 5 7 
2 3 3 4 5 6 
2 4 4 4 5 5 
2 4 4 4 NIL NIL 
2 3 4 4 4 6 
NIL 3 4 4 4 7 
2 3 4 5 5 6 
2 3 4 4 NIL 6 
2 3 4 4 4 6 
2 4 4 4 4 6 
2 3 4 4 4 6 
2 3 3 4 5 6 
2 3 4 4 5 6 
2 3 4 4 5 NIL 
2 4 3 3 4 NIL 
2 3 4 5 5 NIL 
2 3 4 4 6 8 
2 3 4 4 NIL 6 
2 3 4 4 3 6 
2 3 4 4 4 NIL 
2 3 5 4 5 6 
3 3 4 4 4 6 
NIL 3 4 4 5 NIL 
2 3 4 3 NIL 6 
2 2 4 5 4 6 
2 NIL 4 4 5 5 
2 3 3 4 4 5 
2 3 NIL 4 5 6 
2 3 4 4 NIL NIL 
2 4 4 4 5 6 
3 3 4 4 5 5 
2 3 4 4 5 5 
1 3 4 4 5 6 
2 3 3 4 6 6 
2 4 4 NIL 5 6 
1 3 4 4 4 6 
2 4 4 4 4 6 
2 2 4 4 5 6 
2 2 4 4 5 8 
2 4 3 4 5 6 
1 3 4 3 NIL NIL 
2 2 4 4 NIL 6 
2 3 4 4 5 NIL 
2 3 4 4 NIL 7 
1 4 4 4 6 6 
