c11 c12 c13 c22 c23 c33 
2 4 NIL 4 5 6 
2 3 NIL 4 5 6 
2 3 4 4 5 6 
2 3 3 4 5 4 
2 3 4 4 5 6 
2 3 3 4 5 NIL 
2 3 4 4 5 5 
2 3 4 4 6 5 
2 3 4 4 5 6 
3 3 4 4 5 NIL 
2 3 4 5 4 NIL 
2 3 4 4 5 6 
2 2 4 4 4 7 
2 3 4 4 6 6 
3 3 4 4 4 6 
2 4 3 4 5 7 
2 3 4 5 5 5 
3 4 4 4 5 7 
2 3 4 4 NIL 6 
2 3 4 4 4 6 
2 3 4 4 5 6 
2 3 4 4 4 6 
1 2 4 4 4 5 
NIL 3 4 4 4 5 
2 3 4 4 4 6 
2 3 4 4 5 6 
3 3 4 4 3 6 
2 3 3 4 5 6 
1 4 3 4 4 6 
2 3 4 3 5 6 
2 3 4 5 5 NIL 
2 4 4 4 NIL 6 
2 3 4 4 4 NIL 
NIL 3 4 4 4 6 
2 2 5 4 NIL NIL 
2 3 4 4 5 4 
2 3 4 4 5 6 
2 4 4 4 NIL 6 
2 3 4 3 4 6 
1 3 4 4 5 6 
3 3 4 4 5 6 
NIL 3 NIL 4 5 NIL 
2 3 4 4 5 NIL 
2 3 4 4 4 NIL 
2 3 4 5 5 5 
2 3 4 4 5 6 
NIL NIL 4 4 4 NIL 
2 3 4 4 6 6 
2 3 4 3 5 6 
1 3 4 4 5 6 
2 4 4 NIL 4 NIL 
2 2 4 3 4 NIL 
3 3 4 3 NIL 6 
2 3 4 4 5 6 
2 3 4 3 4 5 
2 3 4 NIL 4 6 
2 2 3 4 5 6 
2 3 4 5 4 6 
2 2 4 4 NIL 6 
2 3 4 3 5 6 
2 3 4 4 5 6 
NIL 3 4 4 NIL 6 
2 3 4 4 5 5 
2 3 4 4 NIL 6 
2 3 4 3 4 6 
2 3 4 4 5 NIL 
2 3 4 4 4 6 
3 3 4 4 4 6 
2 3 4 4 NIL 6 
2 3 NIL 4 4 6 
2 3 4 4 6 6 
3 4 4 4 NIL 6 
2 2 5 4 4 6 
2 3 4 4 NIL 8 
2 4 4 4 5 5 
2 3 5 4 6 6 
2 2 4 4 4 6 
2 3 4 4 5 6 
2 NIL 3 4 5 6 
2 3 4 4 NIL 6 
2 3 4 3 5 6 
2 3 4 4 NIL NIL 
3 3 4 NIL 6 6 
2 3 4 3 NIL 6 
3 3 4 4 4 6 
2 2 4 4 5 6 
2 3 4 3 5 4 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 3 5 6 
2 3 4 3 NIL 4 
NIL 3 4 3 5 6 
2 2 4 4 5 NIL 
2 3 3 4 5 6 
2 3 4 4 NIL 6 
2 NIL 4 NIL 4 6 
NIL 3 4 4 6 6 
2 3 4 4 NIL 6 
2 3 4 4 5 7 
2 2 4 4 NIL 6 
2 4 3 4 5 6 
2 NIL 4 4 5 6 
2 3 4 4 4 NIL 
2 3 4 4 5 6 
3 4 4 4 NIL 6 
NIL NIL 5 3 5 6 
1 4 4 4 5 6 
1 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 NIL 5 7 
2 3 4 3 5 5 
2 3 4 4 NIL 6 
2 2 4 4 5 NIL 
1 3 4 4 NIL 6 
2 3 4 4 5 6 
2 4 4 4 5 6 
2 3 4 4 4 NIL 
1 2 4 4 5 6 
2 3 4 3 6 6 
3 3 4 4 5 NIL 
2 2 4 4 4 6 
2 2 4 4 6 6 
2 3 4 NIL 6 6 
3 3 4 5 NIL 7 
2 3 4 4 NIL 4 
4 3 4 4 NIL 6 
2 3 4 4 5 6 
3 3 4 4 NIL 6 
2 3 4 4 5 6 
2 2 4 4 5 7 
2 3 4 4 5 6 
2 3 4 4 4 6 
2 4 NIL 3 6 NIL 
2 3 4 3 5 NIL 
2 3 3 4 5 NIL 
3 3 3 4 NIL 6 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 3 4 5 4 6 
2 3 4 4 5 6 
NIL 3 NIL 4 5 6 
2 2 4 4 5 6 
NIL 3 4 4 5 6 
3 3 4 3 5 6 
2 3 4 4 5 6 
2 3 5 3 5 6 
3 3 4 4 5 6 
2 3 3 5 5 6 
2 3 4 4 5 6 
2 3 4 3 5 6 
2 3 4 4 4 NIL 
1 3 4 3 NIL 6 
3 3 3 3 NIL NIL 
2 3 4 4 5 6 
1 3 4 4 6 6 
2 3 4 4 5 6 
2 4 3 3 4 5 
1 3 4 4 5 NIL 
2 3 5 4 5 4 
2 3 4 4 5 NIL 
2 3 NIL 4 4 6 
2 2 4 4 5 6 
2 4 4 4 5 6 
2 3 4 4 5 6 
2 3 3 4 4 NIL 
2 5 4 3 4 NIL 
2 3 3 4 4 6 
2 3 4 4 4 5 
2 3 4 4 4 7 
3 3 4 4 4 6 
2 3 4 4 5 6 
2 4 4 4 4 6 
2 3 4 3 5 7 
1 2 4 4 6 7 
2 3 4 4 4 6 
1 3 4 4 4 4 
2 4 4 NIL 5 6 
2 3 4 4 5 6 
2 4 3 4 4 6 
2 3 4 4 4 4 
2 3 4 4 6 6 
2 3 4 4 5 5 
2 3 4 4 5 6 
1 3 4 4 NIL 6 
2 3 3 4 5 6 
2 3 3 4 NIL 6 
2 3 4 4 5 6 
2 3 3 4 5 NIL 
2 2 4 4 5 6 
2 3 4 4 4 NIL 
2 3 4 4 6 NIL 
NIL NIL 4 4 4 6 
1 4 4 4 6 6 
1 4 4 3 5 7 
2 3 4 3 5 6 
2 3 4 4 5 4 
1 3 3 4 NIL 6 
2 2 4 4 5 6 
1 3 4 4 5 6 
2 3 4 4 6 NIL 
2 4 4 NIL 5 5 
4 4 4 4 4 6 
2 3 4 4 6 6 
2 3 4 4 5 6 
2 3 3 4 4 6 
2 3 4 4 5 7 
2 5 3 4 6 6 
2 3 4 4 NIL NIL 
1 2 3 4 3 6 
2 3 4 4 NIL 4 
2 3 5 4 5 NIL 
2 2 4 4 5 NIL 
2 3 4 4 5 6 
3 3 4 4 4 6 
2 3 4 4 NIL NIL 
3 2 4 4 5 6 
1 2 4 3 5 6 
2 3 3 4 5 6 
2 3 4 4 NIL NIL 
2 3 4 4 5 6 
1 NIL 4 3 5 6 
2 3 3 4 5 6 
2 3 4 5 5 6 
2 2 4 5 5 6 
1 3 4 4 NIL 6 
2 3 NIL 5 6 6 
2 3 4 4 4 7 
2 3 3 3 4 6 
2 3 4 4 5 6 
2 4 4 4 4 NIL 
2 3 3 4 5 7 
2 3 4 4 5 6 
2 3 4 4 5 6 
2 2 4 4 5 6 
2 3 3 4 4 6 
1 4 4 4 4 7 
2 4 4 4 5 6 
2 4 4 4 5 6 
2 3 4 4 4 5 
2 3 4 4 5 6 
2 4 4 3 5 6 
1 3 4 3 4 5 
2 4 4 3 NIL 6 
1 NIL 4 4 4 6 
2 3 4 3 5 NIL 
