envWait calcTimeFac blendTemp subject step Version trend waterLevel chosenValveSetting
8 1.0 0.5 1 1 "Linear increase" 2.08000 5.08000 1.00000 
8 1.0 0.5 1 2 "Linear increase" 2.16000 20.48000 13.24000 
8 1.0 0.5 1 3 "Linear increase" 2.24000 4.02000 -18.70000 
8 1.0 0.5 1 4 "Linear increase" 2.32000 4.04000 -2.30000 
8 1.0 0.5 1 5 "Linear increase" 2.40000 3.96000 -2.48000 
8 1.0 0.5 1 6 "Linear increase" 2.48000 3.98000 -2.46000 
8 1.0 0.5 1 7 "Linear increase" 2.56000 4.00000 -2.54000 
8 1.0 0.5 1 8 "Linear increase" 2.64000 4.02000 -2.62000 
8 1.0 0.5 1 9 "Linear increase" 2.72000 4.04000 -2.70000 
8 1.0 0.5 1 10 "Linear increase" 2.80000 3.96000 -2.88000 
8 1.0 0.5 1 11 "Linear increase" 2.88000 3.98000 -2.86000 
8 1.0 0.5 1 12 "Linear increase" 2.96000 4.00000 -2.94000 
8 1.0 0.5 1 13 "Linear increase" 3.04000 4.02000 -3.02000 
8 1.0 0.5 1 14 "Linear increase" 3.12000 4.04000 -3.10000 
8 1.0 0.5 1 15 "Linear increase" 3.20000 3.96000 -3.28000 
8 1.0 0.5 1 16 "Linear increase" 3.28000 3.98000 -3.26000 
8 1.0 0.5 1 17 "Linear increase" 3.36000 4.00000 -3.34000 
8 1.0 0.5 1 18 "Linear increase" 3.44000 4.02000 -3.42000 
8 1.0 0.5 1 19 "Linear increase" 3.52000 4.04000 -3.50000 
8 1.0 0.5 1 20 "Linear increase" 3.60000 3.96000 -3.68000 
8 1.0 0.5 1 21 "Linear increase" 3.68000 3.98000 -3.66000 
8 1.0 0.5 1 22 "Linear increase" 3.76000 4.00000 -3.74000 
8 1.0 0.5 1 23 "Linear increase" 3.84000 4.02000 -3.82000 
8 1.0 0.5 1 24 "Linear increase" 3.92000 4.04000 -3.90000 
8 1.0 0.5 1 25 "Linear increase" 4.00000 3.96000 -4.08000 
8 1.0 0.5 1 26 "Linear increase" 4.08000 3.98000 -4.06000 
8 1.0 0.5 1 27 "Linear increase" 4.16000 4.00000 -4.14000 
8 1.0 0.5 1 28 "Linear increase" 4.24000 4.02000 -4.22000 
8 1.0 0.5 1 29 "Linear increase" 4.32000 4.04000 -4.30000 
8 1.0 0.5 1 30 "Linear increase" 4.40000 3.96000 -4.48000 
8 1.0 0.5 1 31 "Linear increase" 4.48000 3.98000 -4.46000 
8 1.0 0.5 1 32 "Linear increase" 4.56000 4.00000 -4.54000 
